MV迦南,#genre#

大海中的船,https://vd2.bdstatic.com/mda-qaffyp0r4m3y0uw2/576p/h264/1705403798871646796/mda-qaffyp0r4m3y0uw2.mp4
走进新的一天,https://vd4.bdstatic.com/mda-pmkxh4g7hih36csa/576p/h264/1703196873491206327/mda-pmkxh4g7hih36csa.mp4
我们深深的知道, https://vdse.bdstatic.com//31da7018866881e99c7a59e367de2d7e.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-07T21%3A27%3A10Z%2F-1%2Fhost%2Fd25832c137d615db549cda4d6ee4a89c3f5da4a2fe5faf3aa54884bb8d7e1170
感恩的泪, https://m.douyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ct40kvvog65oja2fh540&ratio=720p&line=0
同路人, https://vd2.bdstatic.com/mda-qm3fvrnjv66kdujk/hd/cae_h264/1733310857698752666/mda-qm3fvrnjv66kdujk.mp4
最知心的朋友, https://vd4.bdstatic.com/mda-qm5xj2qfa7cwuxa6/hd/cae_h264/1733523571593468318/mda-qm5xj2qfa7cwuxa6.mp4?v_from_s=bdapp-bdappcore-feed-hnb
我的良人我属于你, https://vd2.bdstatic.com/mda-qm6x6wn0pcyt5yx1/hd/cae_h264/1733609043467469027/mda-qm6x6wn0pcyt5yx1.mp4?v_from_s=bdapp-bdappcore-feed-hna

【主我愿跟随你】, https://vd2.bdstatic.com/mda-qki818x06hj1utea/hd/cae_h264/1732004516582175886/mda-qki818x06hj1utea.mp4

充满爱, https://vd3.bdstatic.com/mda-qmf736j81h7f37bw/576p/h264/1734325279904251001/mda-qmf736j81h7f37bw.mp4?v_from_s=bdapp-bdappcore-feed-hnb

轻轻听, https://vd4.bdstatic.com/mda-qmdcqsx5bi35hefk/576p/h264/1734167286161691150/mda-qmdcqsx5bi35hefk.mp4

让赞美飞扬, https://vd3.bdstatic.com/mda-qmp5q56ymrukuk6w/hd/cae_h264/1735014773864116631/mda-qmp5q56ymrukuk6w.mp4

奇异恩典, https://vd2.bdstatic.com/mda-qmncnkn388059fr2/hd/cae_h264/1734944656994464121/mda-qmncnkn388059fr2.mp4


感恩有你, https://vd4.bdstatic.com/mda-qm4khdbgxbewvehg/hd/cae_h264/1733409088950125743/mda-qm4khdbgxbewvehg.mp4?v_from_s=bdapp-bdappcore-feed-hna

赞美之泉, https://vd3.bdstatic.com//mda-qa15a9whs8vseqgh/540p/h264_cae/1704167240658653153/mda-qa15a9whs8vseqgh.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2025-02-08T17%3A47%3A51Z%2F-1%2Fhost%2F861f2ccf6673602e7ccb7ec26f8c59628c630c78edc373e649325285b0140a40&pd=20&vt=1

充满爱, https://vd3.bdstatic.com/mda-qmf736j81h7f37bw/576p/h264/1734325279904251001/mda-qmf736j81h7f37bw.mp4


最知心的朋友2, https://vd3.bdstatic.com/mda-qmwzmmb7ksjf0t3s/hd/cae_h264/1735688830442307306/mda-qmwzmmb7ksjf0t3s.mp4

